title,originallink,link,description,pubDate
"&quot;전생에 한국인이었나, 정말 그런 생각했어요&quot;",http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002703529&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=047&aid=0002296059,"<b>코로나</b>로 횟감 주문이 줄자 사장은 밀린 월급도 주지 않고 숙소를 열쇠로 채우곤 이들을 내쫓았다.... 올해는 <b>코로나</b> 때문에 해고나 퇴직금, 임금 문제가 특히 심각하다. E9 비자(고용 허가)로 들어온 파키스탄 노동자 한... ","Sat, 19 Dec 2020 17:25:00 +0900"
"유동수 의원, 국정감사NGO모니터단 국정감사 국리민복상 수상",http://www.asiaa.co.kr/news/articleView.html?idxno=13363,http://www.asiaa.co.kr/news/articleView.html?idxno=13363,"유동수 의원은 &quot;부족한 저에게 수상의 영예를 주신 것에 감사드리며, 앞으로 더 성실한 의정활동을 펼치라는 주마가편의 격려로 받아들이겠다&quot;며 &quot;<b>코로나</b> 사태로 민생경제가 어려운 지금, 우리 국민들에게 힘이 될 수... ","Sat, 19 Dec 2020 17:25:00 +0900"
제주 '한라사우나' 관련 확진자 총 41명으로 늘어,https://www.news1.kr/articles/?4155506,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005059668,제주 한라사우나발 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 확진자가 41명으로 늘었다. 제주도는 19일 0시부터 오후 5시까지 12명의 <b>코로나</b>19 확진자가 발생해 현재까지 누적 확진자 수는 총 219명이라고 밝혔다.... ,"Sat, 19 Dec 2020 17:25:00 +0900"
"방미숙 하남시의장, 필수노동자 응원 캠페인 동참",http://www.enewstoday.co.kr/news/articleView.html?idxno=1437468,http://www.enewstoday.co.kr/news/articleView.html?idxno=1437468,[사진=하남시의회] 방미숙 하남시의회 의장은 18일 <b>코로나</b> 사태 속에서도 대면 근무에 종사하고 있는 필수노동자를 응원하는 '고맙습니다. 필수노동자!' 캠페인에 동참했다. 필수노동자 응원 캠페인은 <b>코로나</b>19로 사회적... ,"Sat, 19 Dec 2020 17:25:00 +0900"
제주도청 &quot;<b>코로나</b> 확진자 12명 추가 발생&quot; 한라사우나 41명·김녕성당 27명,http://www.ccreview.co.kr/news/articleView.html?idxno=299660,http://www.ccreview.co.kr/news/articleView.html?idxno=299660,제주도청 &quot;<b>코로나</b> 확진자 12명 추가 발생&quot; 한라사우나 41명·김녕성당 27명 제주도에 <b>코로나</b>19 확진자 12명이 발생했다. 19일 제주도청에 따르면 <b>코로나</b> 208~219번 확진자는 한라사우나 관련 9명과 김념 전수조사... ,"Sat, 19 Dec 2020 17:25:00 +0900"
"송석준 의원, NGO모니터단 선정 '2020 국정감사 국리민복상' 수상",http://www.asiaa.co.kr/news/articleView.html?idxno=13359,http://www.asiaa.co.kr/news/articleView.html?idxno=13359,"송석준 의원은 21대 첫 국정감사에서 수도권 지역별 랜드마크 아파트 집값 폭등 실태, 도시재생 뉴딜사업과 주거지원 상향사업의 실적 저조, 최근 증가한 국토교통부 산하기관의 단기 비정규직 일자리, <b>코로나</b>19 여파로... ","Sat, 19 Dec 2020 17:25:00 +0900"
"예탁원 KSD나눔재단, 특성화고 학생·학교에 장학·발전기금 전달",http://www.shinailbo.co.kr/news/articleView.html?idxno=1356539,http://www.shinailbo.co.kr/news/articleView.html?idxno=1356539,"또, 최근 <b>코로나</b>19 상황을 고려해 별도 장학금 수여행사는 생략하는 대신, 장학생들에 장학금과 장학증서, 소정의 기념품 및 이명호 이사장의 축하와 격려 메시지를 담은 CEO letter(레터)를 전달했다. 이명호... ","Sat, 19 Dec 2020 17:24:00 +0900"
일주일째 병상 못찾은 부천 요양병원 80대 확진자 2명 사망,http://news.kmib.co.kr/article/view.asp?arcid=0015341048&code=61121911&cp=nv,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001392570,<b>코로나</b>19 집단 감염이 발생한 경기 부천의 한 요양병원에서 병상 배정을 기다리던 80대 확진자 2명이... A씨는 지난 11일 <b>코로나</b>19 양성 판정 후 요양병원에 격리된 상태였다. 1주일 넘게 병상을 배정받기를 기다리다... ,"Sat, 19 Dec 2020 17:24:00 +0900"
美 일주일새 150만명 감염…유럽 봉쇄 확대,http://www.yonhapnewstv.co.kr/MYH20201219007800038/?did=1825m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=422&aid=0000462430,"세계 <b>코로나</b>19 확산세가 끝이 보이지 않습니다. 미국에서는 일주일새 신규 확진자가 150만명이나 발생했고, 유럽 각국은 봉쇄 조치를 확대하고 있습니다. 김영만 기자입니다. [기자] 가뜩이나 세계에서 <b>코로나</b>19 환자가... ","Sat, 19 Dec 2020 17:24:00 +0900"
"조민아. 남편과 ♥가득 신혼 일상 &quot;태교요리, 맛있게 먹어주면 그저 행복&quot;",http://biz.heraldcorp.com/view.php?ud=202012191710304809038_1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=112&aid=0003379383,"한편 조민아는 지난 15일에 결혼을 전제로 교제 3주 만에 혼인 신고를 했다고 깜짝 발표해 화제를 모았다. <b>코로나</b>19 여파로 결혼식은 내년 올릴 예정으로, 현재 임신 중이다.","Sat, 19 Dec 2020 17:24:00 +0900"
방대본 “<b>코로나</b>19 병원·요양시설 집단감염 중 73%가 종사자-간병인發”,http://www.viva100.com/main/view.php?key=20201219010004825,http://www.viva100.com/main/view.php?key=20201219010004825,방대본 “<b>코로나</b>19 병원·요양시설 집단감염 중 73%가 종사자-간병인發” 최근 국내 의료기관과 요양시설에서 발생한 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 집단감염 10건 중 7건이 종사자나 간병인에 의해서 퍼진 것으로... ,"Sat, 19 Dec 2020 17:24:00 +0900"
"인도, <b>코로나</b> 환자 1천만명 넘어…미국 이어 세계 2번째",http://www.yonhapnewstv.co.kr/MYH20201219007900038/?did=1825m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=422&aid=0000462431,인도의 <b>코로나</b>19 누적 확진자 수가 미국에 이어 세계에서 두 번째로 1천만명을 넘어섰습니다. 인도 보건·가족복지부는 현지시간 19일 오전 집계 기준으로 자국의 <b>코로나</b>19 누적 확진자가 1천만4천599명을 기록했다고... ,"Sat, 19 Dec 2020 17:24:00 +0900"
"[<b>코로나</b>19]정부, 중환자병상 확보 첫 행정명령…",https://news.bbsi.co.kr/news/articleView.html?idxno=3015601,https://news.bbsi.co.kr/news/articleView.html?idxno=3015601,정부가 <b>코로나</b>19 '3차 대유행' 확산으로 중환자 병상이 부족해지자 상급종합병원과 국립대학병원 등을... 오늘(19일) 의료계와 지방자치단체 등에 따르면 중앙사고수습본부(중수본)는 어제 '<b>코로나</b>19 중증환자 전담치료병상... ,"Sat, 19 Dec 2020 17:23:00 +0900"
"제주, 19일 <b>코로나</b>19 12명 추가 발생…누적 확진자 수 219명",http://www.jejudomin.co.kr/news/articleView.html?idxno=201073,http://www.jejudomin.co.kr/news/articleView.html?idxno=201073,"제주특별자치도는 19일 자정부터 오후 5시까지 12명의 <b>코로나</b>19 확진자가 발생함에 따라, 제주지역 <b>코로나</b>19 확진자 수가 총 219명으로 늘어났다고 밝혔다. 208번, 209번, 210번, 211번, 212번, 213번 확진자는 제주시... ","Sat, 19 Dec 2020 17:23:00 +0900"
"中 <b>코로나</b>19 백신 접종 조만간 착수, 고위험군부터",http://www.fnnews.com/news/202012191719113279,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=014&aid=0004550058,중국이 <b>코로나</b>19 백신 접종에 조만간 착수한다. 겨울철 바이러스 확산이 이어지고 최대의 명절 춘제(중국의... 형성해 <b>코로나</b>19를 가능한 한 빨리 더 효과적으로 통제하는 것이 목표”라며 이 같이 밝혔다. 중국은 백신... ,"Sat, 19 Dec 2020 17:23:00 +0900"
전남 광양서 추가 확진자 발생…누적 66명,https://www.news1.kr/articles/?4155505,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005059666,전남 광양에서 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 확진자가 1명 추가로 발생했다. 19일 광양시에 따르면 부산을 다녀온 A씨가 <b>코로나</b>19 양성 판정을 받아 광양 66번 확진자로 분류됐다. 광양읍에 거주하는 50대 여성... ,"Sat, 19 Dec 2020 17:23:00 +0900"
부천 요양병원서 '병상 전원' 기다리던 확진자 2명 사망,https://www.hankyung.com/society/article/2020121966527,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004470065,경기 부천 한 요양병원에서 병상 배정을 기다리던 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 확진자 2명이 사망했다. 19일 부천시에 따르면 전날 부천시 상동 효플러스요양병원에서 코호트(동일집단) 격리 중이던 80대... ,"Sat, 19 Dec 2020 17:22:00 +0900"
"[2021게임전망②] 엔씨 신작, 톡톡 튀네... '中판호 개방' 기대감",http://www.meconomynews.com/news/articleView.html?idxno=48054,http://www.meconomynews.com/news/articleView.html?idxno=48054,내년 '리니지2M' 출시 &quot;중국 시장 열리면 다양한 기회 있을 것&quot; [시장경제=최유진 기자] 올해 국내 게임사는 <b>코로나</b> 대확산이란 초유의 악재 속에서 혼돈의 1년을 보냈다. <b>코로나</b> 대유행은 생활 방식의 근본적인 변화를... ,"Sat, 19 Dec 2020 17:22:00 +0900"
"[이동훈의 100℃] 골프장, <b>코로나</b> 상황 '쉬쉬' 말고 '공지' 해야",http://www.ajunews.com/view/20201219170233128,http://www.ajunews.com/view/20201219170233128,최근 골프장에서 <b>코로나</b>19 확진자가 늘어나고 있다. '불특정 다수'가 모이기 때문이다. 지난 18일 세계일보의... 일부 골프장이 <b>코로나</b>19 상황이 발생해도 '쉬쉬' 하며 영업하고 있다는 것이다. 한 캐디는 &quot;내장객이... ,"Sat, 19 Dec 2020 17:22:00 +0900"
[속보] 인천 동구청 42번째 43번째 확진자 발생 알려,http://www.asiaa.co.kr/news/articleView.html?idxno=13372,http://www.asiaa.co.kr/news/articleView.html?idxno=13372,<b>코로나</b>19 관련사진 (사진=뉴스1 제공) 인천 동구청이 <b>코로나</b>19 42번째 43번째 확진자 발생을 알렸다. 인천 동구 42번째 확진자는 직장 내 접촉으로 감염을 추정하고 있다. 인천 동구 43번째 확진자는 가족간 감염으로... ,"Sat, 19 Dec 2020 17:22:00 +0900"
순창요양병원 집단감염…전북 확산세 심각,http://news.kbs.co.kr/news/view.do?ncd=5075381&amp;ref=A,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=056&aid=0010955748,"전북에서도 <b>코로나</b>19 신규 확진자가 계속 나오고 있습니다. 요양원과 교회에 이어 요양병원에서 또... 어제 직원 2명이 <b>코로나</b>19 확진 판정을 받은 가운데, 환자와 가족 등 추가 확진자가 10명 넘게 나왔습니다. 확진된... ","Sat, 19 Dec 2020 17:22:00 +0900"
"고진영, 단독 1위·김세영 공동 2위...LPGA &quot;내년 투어 34개 대회&quot;",https://www.ytn.co.kr/_ln/0107_202012191722115826,https://sports.news.naver.com/news.nhn?oid=052&aid=0001528154,사무국은 <b>코로나</b>19 상황에서도 올 시즌 TV 시청률이 오히려 30% 이상 상승했다며 여자골프의 내년 시즌 흥행도 자신했습니다 감염병 피해를 최소화하는 데 성공한 LPGA는 내년엔 올 시즌 처음 계획보다 오히려 2개... ,"Sat, 19 Dec 2020 17:22:00 +0900"
[천지포토] 수거된 <b>코로나</b>19 진단키트,http://www.newscj.com/news/articleView.html?idxno=810701,http://www.newscj.com/news/articleView.html?idxno=810701,신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 신규 확진자가 나흘째 1000명대를 넘어선 가운데 19일 오후 서울 성북구청 앞 임시 선별진료소에서 의료진들이 <b>코로나</b>19 진단키트를 수거하고 있다. 성북구는 전날 구청 직원이... ,"Sat, 19 Dec 2020 17:22:00 +0900"
"중국, 고위험그룹 대상 백신 접종 곧 시작",https://view.asiae.co.kr/article/2020121917225982485,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=277&aid=0004813468,중국이 의료진 등 감염 고위험 그룹부터 신종 <b>코로나</b>바이러스감염증(<b>코로나</b>19) 백신 접종을 시작할 예정이라고 밝혔다. 쩡이신 중국 국가위생건강위원회 부주임은 19일 브리핑에서 &quot;겨울철 기온이 떨어지면서 방역 상황이... ,"Sat, 19 Dec 2020 17:22:00 +0900"
내년 석유제품 수출 32조원으로 18% 상승 전망,http://www.e2news.com/news/articleView.html?idxno=228843,http://www.e2news.com/news/articleView.html?idxno=228843,올해 정유산업은 <b>코로나</b>19로 인한 타격을 다른 산업보다 크게 입었기 때문에 그만큼 반등할 것이란... 산업연구원 관계자는 &quot;내년에도 산업계가 <b>코로나</b>19 영향에서 완전히 벗어나지는 못할 것&quot;이라며 &quot;다만 일정부분... ,"Sat, 19 Dec 2020 17:22:00 +0900"
"국내 기름값 &quot;4주 연속 상승...지난주 대비 18.6원 상승, ℓ당 1천357.7원&quot;",http://www.fntoday.co.kr/news/articleView.html?idxno=244666,http://www.fntoday.co.kr/news/articleView.html?idxno=244666,"국제유가 변동은 2∼3주 시차를 두고 국내에 반영되는데, 최근 <b>코로나</b>19 백신 개발에 대한 기대감 등으로... <b>코로나</b>19 확산으로 3월 이후 약 9개월 만에 50달러 선을 회복한 것이다. 국제유가가 상승세를 이어가 국내... ","Sat, 19 Dec 2020 17:21:00 +0900"
올해 '유튜브'로만 OOO억 수입 올려 가장 돈 많이 번 주인공은?,https://www.insight.co.kr/news/317190,https://www.insight.co.kr/news/317190,= 올해는 전세계가 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 여파로 '집콕'하는 사람들이 많아지면서 유튜브가 특히 급성장했다.그렇다면 2020년 전 세계에서 가장 돈을 많이 번 유튜버는 누굴까.지난 18일... ,"Sat, 19 Dec 2020 17:21:00 +0900"
평생 어려운 사람들을 위해 희생하던 8명의 수녀님이 <b>코로나</b>로 세상을 떠났다,https://www.insight.co.kr/news/317213,https://www.insight.co.kr/news/317213,수녀님들이 <b>코로나</b>19로 세상을 떠났다.지난 18일(현지 시간) 미국 일간 '뉴욕 타임스(The New York Times)'는 8명의 로마 가톨릭 자매가 위스콘신 양로원에서 <b>코로나</b>19로 사망했다고 전했다.이들은 노인과 병든 자매들을... ,"Sat, 19 Dec 2020 17:21:00 +0900"
"대경대학교, 뷰티메디컬스킨케어과 뷰티크리에이터 성공적 마무리",http://www.fntoday.co.kr/news/articleView.html?idxno=244677,http://www.fntoday.co.kr/news/articleView.html?idxno=244677,"<b>코로나</b> 19의 장기화로 비대면 시대가 열리면서 집콕 문화가 자리 잡았다. 그로 인해 모바일 동영상 시청 시간이 대폭 증가하고, 자연스럽게 동영상을 제작하는 크리에이터에 대한 관심이 커졌다. 크리에이터는 이제 하나의... ","Sat, 19 Dec 2020 17:21:00 +0900"
제주 '한라사우나 發' <b>코로나</b>19 확진 속출,http://www.mediajeju.com/news/articleView.html?idxno=327786,http://www.mediajeju.com/news/articleView.html?idxno=327786,제주시 '한라사우나발' <b>코로나</b>19 확진자가 속출하면서 19일 오후 5시 기준 도내 누적 확진자는 219명으로 집계됐다. 제주시 한라사우나발(發) <b>코로나</b>19 확진자가 속출하면서 누적 확진자 수도 증가했다. 19일... ,"Sat, 19 Dec 2020 17:21:00 +0900"
[만리재사진첩] 김진숙 복직촉구 리멤버 희망버스 현장,http://www.hani.co.kr/arti/society/labor/975003.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=028&aid=0002524957,대신 이번에는 <b>코로나</b>19 방역을 위해 참가자들이 개별적으로 차량을 이용해 집결한 뒤 `드라이브 스루' 차량 행진을 하고 유튜브를 통한 동영상 생중계로 진행 상황을 공유하는 등 비대면 방식으로 진행됐다. 2011년... ,"Sat, 19 Dec 2020 17:20:00 +0900"
&quot;백신 맞으면 82만 원 준다&quot; 美 지방 정부 인센티브 지급,https://www.ytn.co.kr/_ln/0104_202012191720012745,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=052&aid=0001528152,"미국 펜실베이니아주 노샘프턴 지방 정부가 <b>코로나</b>19 백신을 맞는 요양 시설 직원들에게 약 750달러(약 82만... 카운티는 이번 인센티브 지급을 위해 <b>코로나</b> 예방을 위한 연방 지원금 2,760만 달러(303억5,000만 원) 가운데... ","Sat, 19 Dec 2020 17:20:00 +0900"
